"key","opponent","week","event_type","probability","proj","actual","name.team","owner.team","pic.team","name.oppo","owner.oppo","pic.oppo","home","away","matchup","matchupnum"
"399.l.605636.t.1","399.l.605636.t.2",1,"preevent",0.53,142.22,"0.00","Redemption Boners","Marc","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24955837179_9ea67a7ec1.jpg","Admiral Ackbars","Joseph","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/29232944137_89c392.jpg",1,2,8,"2"
"399.l.605636.t.2","399.l.605636.t.1",1,"preevent",0.47,137.79,"0.00","Admiral Ackbars","Joseph","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/29232944137_89c392.jpg","Redemption Boners","Marc","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24955837179_9ea67a7ec1.jpg",2,1,8,"2"
"399.l.605636.t.6","399.l.605636.t.8",1,"preevent",0.58,161.91,"0.00","Curve Flatteners","Wayne","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/6345bed68e022eae643b4402863890d13da2eaaf6f495c9c6b5c038545747e8b.jpg","Papa Peeps","Josh","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/57361934414_8cbe97.jpg",6,8,114,"3"
"399.l.605636.t.8","399.l.605636.t.6",1,"preevent",0.42,149.27,"0.00","Papa Peeps","Josh","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/57361934414_8cbe97.jpg","Curve Flatteners","Wayne","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/6345bed68e022eae643b4402863890d13da2eaaf6f495c9c6b5c038545747e8b.jpg",8,6,114,"3"
"399.l.605636.t.5","399.l.605636.t.9",1,"preevent",0.41,144.1,"0.00","Boners of Freedom","Samuel","https://s.yimg.com/cv/apiv2/default/nfl/nfl_4.png","Pickle Ricks","Sean","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/25947095919_4de969.jpg",5,9,120,"4"
"399.l.605636.t.9","399.l.605636.t.5",1,"preevent",0.59,156.44,"0.00","Pickle Ricks","Sean","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/25947095919_4de969.jpg","Boners of Freedom","Samuel","https://s.yimg.com/cv/apiv2/default/nfl/nfl_4.png",9,5,120,"4"
"399.l.605636.t.4","399.l.605636.t.10",1,"preevent",0.45,140.86,"0.00","Florida Man","Joshua","https://s.yimg.com/cv/apiv2/default/nfl/nfl_4.png","Corona Boners","Blaine","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/56482426281_cb3742.jpg",4,10,130,"5"
"399.l.605636.t.10","399.l.605636.t.4",1,"preevent",0.55,148.94,"0.00","Corona Boners","Blaine","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/56482426281_cb3742.jpg","Florida Man","Joshua","https://s.yimg.com/cv/apiv2/default/nfl/nfl_4.png",10,4,130,"5"
"399.l.605636.t.3","399.l.605636.t.11",1,"preevent",0.56,153.46,"0.00","Alabama Slammer","john","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24966926549_e39885c544.jpg","Suck it boners","Jeremy","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24932942439_d3d88ba3c8.jpg",3,11,144,"6"
"399.l.605636.t.11","399.l.605636.t.3",1,"preevent",0.44,145.18,"0.00","Suck it boners","Jeremy","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24932942439_d3d88ba3c8.jpg","Alabama Slammer","john","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24966926549_e39885c544.jpg",11,3,144,"6"
"399.l.605636.t.7","399.l.605636.t.12",1,"preevent",0.47,158.9,"0.00","taking a 'rona","Jp","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/44285213562_ce51b8.jpg","The Devils Rejects","Damien","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24975873119_7c41d8c039.jpg",7,12,212,"1"
"399.l.605636.t.12","399.l.605636.t.7",1,"preevent",0.53,163.72,"0.00","The Devils Rejects","Damien","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24975873119_7c41d8c039.jpg","taking a 'rona","Jp","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/44285213562_ce51b8.jpg",12,7,212,"1"
"399.l.605636.t.1","399.l.605636.t.3",2,"preevent",0.44,149.56,"0.00","Redemption Boners","Marc","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24955837179_9ea67a7ec1.jpg","Alabama Slammer","john","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24966926549_e39885c544.jpg",1,3,14,"2"
"399.l.605636.t.3","399.l.605636.t.1",2,"preevent",0.56,158.71,"0.00","Alabama Slammer","john","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24966926549_e39885c544.jpg","Redemption Boners","Marc","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24955837179_9ea67a7ec1.jpg",3,1,14,"2"
"399.l.605636.t.7","399.l.605636.t.8",2,"preevent",0.59,153.39,"0.00","taking a 'rona","Jp","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/44285213562_ce51b8.jpg","Papa Peeps","Josh","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/57361934414_8cbe97.jpg",7,8,128,"3"
"399.l.605636.t.8","399.l.605636.t.7",2,"preevent",0.41,140.65,"0.00","Papa Peeps","Josh","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/57361934414_8cbe97.jpg","taking a 'rona","Jp","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/44285213562_ce51b8.jpg",8,7,128,"3"
"399.l.605636.t.6","399.l.605636.t.9",2,"preevent",0.56,160.55,"0.00","Curve Flatteners","Wayne","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/6345bed68e022eae643b4402863890d13da2eaaf6f495c9c6b5c038545747e8b.jpg","Pickle Ricks","Sean","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/25947095919_4de969.jpg",6,9,132,"4"
"399.l.605636.t.9","399.l.605636.t.6",2,"preevent",0.44,151.12,"0.00","Pickle Ricks","Sean","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/25947095919_4de969.jpg","Curve Flatteners","Wayne","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/6345bed68e022eae643b4402863890d13da2eaaf6f495c9c6b5c038545747e8b.jpg",9,6,132,"4"
"399.l.605636.t.5","399.l.605636.t.10",2,"preevent",0.5,144.9,"0.00","Boners of Freedom","Samuel","https://s.yimg.com/cv/apiv2/default/nfl/nfl_4.png","Corona Boners","Blaine","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/56482426281_cb3742.jpg",5,10,140,"5"
"399.l.605636.t.10","399.l.605636.t.5",2,"preevent",0.5,145.3,"0.00","Corona Boners","Blaine","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/56482426281_cb3742.jpg","Boners of Freedom","Samuel","https://s.yimg.com/cv/apiv2/default/nfl/nfl_4.png",10,5,140,"5"
"399.l.605636.t.4","399.l.605636.t.11",2,"preevent",0.47,144.65,"0.00","Florida Man","Joshua","https://s.yimg.com/cv/apiv2/default/nfl/nfl_4.png","Suck it boners","Jeremy","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24932942439_d3d88ba3c8.jpg",4,11,152,"6"
"399.l.605636.t.11","399.l.605636.t.4",2,"preevent",0.53,148.45,"0.00","Suck it boners","Jeremy","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24932942439_d3d88ba3c8.jpg","Florida Man","Joshua","https://s.yimg.com/cv/apiv2/default/nfl/nfl_4.png",11,4,152,"6"
"399.l.605636.t.2","399.l.605636.t.12",2,"preevent",0.4,142.14,"0.00","Admiral Ackbars","Joseph","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/29232944137_89c392.jpg","The Devils Rejects","Damien","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24975873119_7c41d8c039.jpg",2,12,162,"1"
"399.l.605636.t.12","399.l.605636.t.2",2,"preevent",0.6,157.62,"0.00","The Devils Rejects","Damien","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24975873119_7c41d8c039.jpg","Admiral Ackbars","Joseph","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/29232944137_89c392.jpg",12,2,162,"1"
"399.l.605636.t.2","399.l.605636.t.3",3,"preevent",0.52,146.53,"0.00","Admiral Ackbars","Joseph","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/29232944137_89c392.jpg","Alabama Slammer","john","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24966926549_e39885c544.jpg",2,3,18,"2"
"399.l.605636.t.3","399.l.605636.t.2",3,"preevent",0.48,144.25,"0.00","Alabama Slammer","john","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24966926549_e39885c544.jpg","Admiral Ackbars","Joseph","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/29232944137_89c392.jpg",3,2,18,"2"
"399.l.605636.t.1","399.l.605636.t.4",3,"preevent",0.6,150.96,"0.00","Redemption Boners","Marc","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24955837179_9ea67a7ec1.jpg","Florida Man","Joshua","https://s.yimg.com/cv/apiv2/default/nfl/nfl_4.png",1,4,22,"3"
"399.l.605636.t.4","399.l.605636.t.1",3,"preevent",0.4,136.22,"0.00","Florida Man","Joshua","https://s.yimg.com/cv/apiv2/default/nfl/nfl_4.png","Redemption Boners","Marc","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24955837179_9ea67a7ec1.jpg",4,1,22,"3"
"399.l.605636.t.7","399.l.605636.t.9",3,"preevent",0.54,149.83,"0.00","taking a 'rona","Jp","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/44285213562_ce51b8.jpg","Pickle Ricks","Sean","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/25947095919_4de969.jpg",7,9,146,"4"
"399.l.605636.t.9","399.l.605636.t.7",3,"preevent",0.46,144.67,"0.00","Pickle Ricks","Sean","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/25947095919_4de969.jpg","taking a 'rona","Jp","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/44285213562_ce51b8.jpg",9,7,146,"4"
"399.l.605636.t.6","399.l.605636.t.10",3,"preevent",0.57,152.22,"0.00","Curve Flatteners","Wayne","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/6345bed68e022eae643b4402863890d13da2eaaf6f495c9c6b5c038545747e8b.jpg","Corona Boners","Blaine","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/56482426281_cb3742.jpg",6,10,152,"5"
"399.l.605636.t.10","399.l.605636.t.6",3,"preevent",0.43,141.54,"0.00","Corona Boners","Blaine","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/56482426281_cb3742.jpg","Curve Flatteners","Wayne","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/6345bed68e022eae643b4402863890d13da2eaaf6f495c9c6b5c038545747e8b.jpg",10,6,152,"5"
"399.l.605636.t.5","399.l.605636.t.11",3,"preevent",0.46,135.35,"0.00","Boners of Freedom","Samuel","https://s.yimg.com/cv/apiv2/default/nfl/nfl_4.png","Suck it boners","Jeremy","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24932942439_d3d88ba3c8.jpg",5,11,162,"6"
"399.l.605636.t.11","399.l.605636.t.5",3,"preevent",0.54,141.23,"0.00","Suck it boners","Jeremy","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24932942439_d3d88ba3c8.jpg","Boners of Freedom","Samuel","https://s.yimg.com/cv/apiv2/default/nfl/nfl_4.png",11,5,162,"6"
"399.l.605636.t.8","399.l.605636.t.12",3,"preevent",0.44,143.84,"0.00","Papa Peeps","Josh","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/57361934414_8cbe97.jpg","The Devils Rejects","Damien","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24975873119_7c41d8c039.jpg",8,12,228,"1"
"399.l.605636.t.12","399.l.605636.t.8",3,"preevent",0.56,152.33,"0.00","The Devils Rejects","Damien","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24975873119_7c41d8c039.jpg","Papa Peeps","Josh","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/57361934414_8cbe97.jpg",12,8,228,"1"
"399.l.605636.t.2","399.l.605636.t.4",4,"preevent",0.5,136.96,"0.00","Admiral Ackbars","Joseph","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/29232944137_89c392.jpg","Florida Man","Joshua","https://s.yimg.com/cv/apiv2/default/nfl/nfl_4.png",2,4,26,"2"
"399.l.605636.t.4","399.l.605636.t.2",4,"preevent",0.5,136.44,"0.00","Florida Man","Joshua","https://s.yimg.com/cv/apiv2/default/nfl/nfl_4.png","Admiral Ackbars","Joseph","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/29232944137_89c392.jpg",4,2,26,"2"
"399.l.605636.t.1","399.l.605636.t.5",4,"preevent",0.61,151.81,"0.00","Redemption Boners","Marc","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24955837179_9ea67a7ec1.jpg","Boners of Freedom","Samuel","https://s.yimg.com/cv/apiv2/default/nfl/nfl_4.png",1,5,32,"3"
"399.l.605636.t.5","399.l.605636.t.1",4,"preevent",0.39,136.24,"0.00","Boners of Freedom","Samuel","https://s.yimg.com/cv/apiv2/default/nfl/nfl_4.png","Redemption Boners","Marc","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24955837179_9ea67a7ec1.jpg",5,1,32,"3"
"399.l.605636.t.8","399.l.605636.t.9",4,"preevent",0.43,141.46,"0.00","Papa Peeps","Josh","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/57361934414_8cbe97.jpg","Pickle Ricks","Sean","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/25947095919_4de969.jpg",8,9,162,"4"
"399.l.605636.t.9","399.l.605636.t.8",4,"preevent",0.57,151.7,"0.00","Pickle Ricks","Sean","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/25947095919_4de969.jpg","Papa Peeps","Josh","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/57361934414_8cbe97.jpg",9,8,162,"4"
"399.l.605636.t.7","399.l.605636.t.10",4,"preevent",0.54,147.77,"0.00","taking a 'rona","Jp","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/44285213562_ce51b8.jpg","Corona Boners","Blaine","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/56482426281_cb3742.jpg",7,10,166,"5"
"399.l.605636.t.10","399.l.605636.t.7",4,"preevent",0.46,142.51,"0.00","Corona Boners","Blaine","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/56482426281_cb3742.jpg","taking a 'rona","Jp","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/44285213562_ce51b8.jpg",10,7,166,"5"
"399.l.605636.t.3","399.l.605636.t.12",4,"preevent",0.45,144.02,"0.00","Alabama Slammer","john","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24966926549_e39885c544.jpg","The Devils Rejects","Damien","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24975873119_7c41d8c039.jpg",3,12,168,"6"
"399.l.605636.t.12","399.l.605636.t.3",4,"preevent",0.55,151.81,"0.00","The Devils Rejects","Damien","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24975873119_7c41d8c039.jpg","Alabama Slammer","john","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24966926549_e39885c544.jpg",12,3,168,"6"
"399.l.605636.t.6","399.l.605636.t.11",4,"preevent",0.57,149.83,"0.00","Curve Flatteners","Wayne","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/6345bed68e022eae643b4402863890d13da2eaaf6f495c9c6b5c038545747e8b.jpg","Suck it boners","Jeremy","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24932942439_d3d88ba3c8.jpg",6,11,174,"1"
"399.l.605636.t.11","399.l.605636.t.6",4,"preevent",0.43,140.12,"0.00","Suck it boners","Jeremy","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24932942439_d3d88ba3c8.jpg","Curve Flatteners","Wayne","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/6345bed68e022eae643b4402863890d13da2eaaf6f495c9c6b5c038545747e8b.jpg",11,6,174,"1"
"399.l.605636.t.3","399.l.605636.t.4",5,"preevent",0.66,147.56,"0.00","Alabama Slammer","john","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24966926549_e39885c544.jpg","Florida Man","Joshua","https://s.yimg.com/cv/apiv2/default/nfl/nfl_4.png",3,4,32,"2"
"399.l.605636.t.4","399.l.605636.t.3",5,"preevent",0.34,124.44,"0.00","Florida Man","Joshua","https://s.yimg.com/cv/apiv2/default/nfl/nfl_4.png","Alabama Slammer","john","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24966926549_e39885c544.jpg",4,3,32,"2"
"399.l.605636.t.2","399.l.605636.t.5",5,"preevent",0.63,141.07,"0.00","Admiral Ackbars","Joseph","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/29232944137_89c392.jpg","Boners of Freedom","Samuel","https://s.yimg.com/cv/apiv2/default/nfl/nfl_4.png",2,5,36,"3"
"399.l.605636.t.5","399.l.605636.t.2",5,"preevent",0.37,123.84,"0.00","Boners of Freedom","Samuel","https://s.yimg.com/cv/apiv2/default/nfl/nfl_4.png","Admiral Ackbars","Joseph","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/29232944137_89c392.jpg",5,2,36,"3"
